Brand,Model,Title,Price,Year,Kilometers
Mercedes-Benz,GLE Coupe,"Extended Special Offers - AED 5,793 P/M - GLE63 AMG S Coupe","395,000",2021,"16,769 km"
Land Rover,Range Rover,BEST RANGE ROVER VOGUE SUPERCHARGED V8 || TOP RANGE || GCC || PANORAMIC || FREE ACCIDENTS,"99,000",2015,"137,000 km"
BMW,X5,BEST BMW X5 V6 || M_KIT || SCREENS || TOP RANGE || FREE ACCIDENTS || GCC || MILES 107k ONLY,"99,000",2017,"107,000 km"
Chevrolet,Corvette,"2025 CHEVROLET CORVETTE STINGRAY, 2030 WARRANTY  SERVICE PACK, FULLY LOADED, GCC","424,000",2025,0 km
Nissan,Patrol,AED 3419/month | 2024 Nissan Patrol Super Safari | GCC Specs | Ref#295302,"225,000",2024,"18,136 km"
Mercedes-Benz,G-Class,2025 Mercedes AMG G63 - GCC Spec - Warranty - Lease to Own Available,"1,160,000",2025,50 km
BMW,3-Series,2016 BMW 320i M Sport Gcc Specs Showroom Condition,"39,500",2016,"165,000 km"
Audi,A4,2015 Audi A4 S line GCC Specs Showroom Condition,"37,500",2015,"132,000 km"
Jeep,Grand Cherokee,2019 JEEP GRAND CHEROKEE V6 FULL AGENCY SERVICE HISTORY GCC SPECS SHOWROOM CONDITION,"45,000",2019,"190,000 km"
Maserati,Ghibli,2016 MASERATI GHIBLI FULL AGENCY SERVICE HISTORY ORIGNAL PAINT GCC SPECS SHOWROOM CONDITION,"55,000",2016,"127,000 km"
Jaguar,F-Type,2015 Jaguar F-Type Gcc Specs Showroom Condition,"69,000",2015,"116,000 km"
Dodge,Challenger,2015 GCC DODGE CHALLANGER R/T HEMI V8 WARRANTY AVAILABLE MINT CONDITION SUNROOF,"76,000",2015,"100,000 km"
BMW,5-Series,BMW 520I GCC SPECS LOW KILOMETER SHOWROOM CONDITION WITH ONE YEAR WARRANTY,"69,000",2019,"60,000 km"
Nissan,Patrol,AED 3571/month | 2024 Nissan Patrol Se Platinum | GCC Specs | Ref#303598,"235,000",2024,"18,421 km"
Volkswagen,Golf,2024 Volkswagen Golf PRO 280TSI 1.4T,"80,000",2024,"3,800 km"
Jeep,Wrangler Unlimited,Jeep Wrangler Rubicon 392 - 2023 - Jeepers Edition,"285,000",2023,"45,037 km"
Toyota,Yaris,AED623/month | 2021 Toyota Yaris Se 1.5L | Warranty | GCC Specifications | Ref#252148,"41,000",2021,"67,200 km"
Mitsubishi,Pajero,MONTHLY 783 ONLY GCC SPEC EXCELLENT CONDTION,"48,000",2016,"158,000 km"
Mercedes-Benz,S-Class,"2019- S450 AMG - FULL OPTIONS -LOW MILEAGE- BROWN INSIDE - IMMACULATE CONDITION - ONLY 73,000 KM","190,000",2019,"73,000 km"
Mercedes-Benz,G-Class,"2014- G63 AMG - FULL OPTIONS -LOW MILEAGE- BLACK INSIDE - IMMACULATE CONDITION - ONLY 43,000 KM","240,000",2014,"43,000 km"
BMW,X6,"2016- BMW X6M - FULL OPTIONS -LOW MILEAGE- BLACK INSIDE - IMMACULATE CONDITION - ONLY 79,000 KM","150,000",2015,"79,000 km"
Dodge,Challenger,Challenger 2021 warranty only 39k clean car,"41,000",2021,"52,342 km"
Mercedes-Benz,C-Class,C300 coupe 2018 clean 53k,"53,000",2018,"90,542 km"
Mercedes-Benz,C-Class,C300 Panoramic full 2021 clean 1700/Month,"79,000",2021,"26,046 km"
Jeep,Wrangler,2020 wrangler super clean 1400/month Warranty,"78,000",2020,"90,754 km"
Nissan,Patrol,"2017 Nissan Patrol LE Platinum V8 5.6L 400HP, GCC AWR, Full Nissan Service History, 100% No Accident","119,500",2017,"120,000 km"
Porsche,Cayenne,Porsche Cayenne V6 3.0 Sport Chrono Package 2019 Model GCC Specs With Full Service History,"179,500",2019,"117,000 km"
Jetour,X70,BRAND NEW 2025 JETOUR X70 FL | 7 SEATER | WARRANTY+SERVICE [ABU-DHABI SHOWROOM],"79,000",2025,11 km
Porsche,Cayenne,G.C.C VERY GOOD CONDITION PORSCHE CAYENNE 4.8L TURBO FULLY SERVICE HISTORY EXCELLENT CONDITION,"54,000",2011,"182,000 km"
Mitsubishi,Attrage,MONTHLY 685/- (WITH 0 % DOWN PAYMENT) MITSUBISHI ATTERAGE 2021  FULL OPTION SERVICE HISTORY,"32,500",2021,"32,000 km"
Jeep,Wrangler Unlimited,"2024 JEEP WRANGLER UNLIMITED RUBICON XTREME V6 3.6L GCC 0km With 5 Years Or 200,000 Km Warranty","239,999",2024,0 km
Mercedes-Benz,GLC,2019 MERCEDES GLE 43 AMG,"159,990",2019,"95,200 km"
Mazda,CX-5,"AED 1,181 / month I Warranty Included","77,000",2023,"74,022 km"
Renault,Koleos,"AED 1,058 / month I Warranty Included","69,000",2023,"25,064 km"
Toyota,Yaris,AED 675/ month I Warranty Included,"44,000",2022,"76,353 km"
Jeep,Grand Cherokee,"AED 1,917 / month I Warranty Included","125,000",2021,"57,138 km"
BMW,5-Series,BMW 5 SERIES ACTIVE HYBRID 3 JAPANESE SPECS GOOD CONDITION ORGINAL PAINT,"39,000",2014,"128,000 km"
